-81924.890,-115392.700,-128428.600,-125727.100,-108875.900,-113610.600,-115358.800,-117219.800,0.000
-83598.950,-115683.200,-127058.300,-124527.500,-109396.800,-112503.400,-114311.000,-116334.400,0.000
-84087.080,-115748.700,-126453.300,-123924.500,-109849.000,-112340.200,-113663.200,-116054.000,0.000
-82397.830,-113079.400,-124588.500,-121908.800,-107298.200,-110141.300,-111689.700,-113886.100,0.000
-81406.050,-110084.700,-121572.700,-118908.700,-104194.400,-106504.200,-108958.100,-110653.900,0.000
-82742.220,-109836.200,-119590.100,-117145.800,-104107.900,-104776.800,-107445.900,-109194.700,0.000
-83584.740,-110220.100,-118872.300,-116507.700,-104951.200,-104794.500,-106840.400,-109047.400,0.000
-81724.160,-107712.300,-117186.700,-114663.800,-102648.200,-102981.000,-105002.700,-107148.800,0.000
-79800.760,-104038.100,-113976.300,-111405.400,-98817.580,-99028.910,-101966.500,-103556.600,0.000
-80557.720,-103092.300,-111462.400,-109108.200,-97932.940,-96633.690,-99973.590,-101468.200,0.000
-81678.340,-103641.400,-110536.500,-108324.000,-98952.490,-96616.700,-99306.430,-101271.000,0.000
-79987.520,-101551.000,-109077.500,-106724.200,-97158.850,-95300.970,-97709.810,-99753.590,0.000
-77393.260,-97521.960,-105896.200,-103439.100,-92975.730,-91366.530,-94595.230,-96095.380,0.000
-77414.050,-95822.160,-102962.500,-100694.800,-91236.680,-88368.800,-92174.880,-93439.300,0.000
-78634.880,-96321.640,-101739.800,-99668.130,-92169.960,-88107.090,-91342.200,-93033.880,0.000
-77321.570,-94753.580,-100476.600,-98310.960,-90978.220,-87259.280,-90004.540,-91907.150,0.000
-74372.640,-90695.480,-97496.800,-95194.410,-86807.730,-83608.730,-87003.610,-88434.460,0.000
-73638.080,-88313.610,-94305.660,-92153.200,-84303.430,-80169.330,-84267.710,-85350.270,0.000
-74761.250,-88566.600,-92749.730,-90831.610,-84916.210,-79518.070,-83192.210,-84611.480,0.000
-73896.360,-87499.460,-91608.410,-89653.810,-84276.840,-79023.730,-82066.230,-83791.130,0.000
-70876.930,-83675.360,-88931.090,-86819.400,-80407.010,-75832.400,-79309.120,-80669.840,0.000
-69453.800,-80765.540,-85652.820,-83631.230,-77318.250,-72155.190,-76393.370,-77334.450,0.000
-70300.460,-80637.310,-83788.390,-82006.520,-77455.800,-71052.820,-75051.050,-76214.630,0.000
-69863.730,-79982.990,-82703.120,-80939.840,-77252.800,-70771.930,-74079.090,-75602.660,0.000
-67019.300,-76583.970,-80379.490,-78459.370,-73893.390,-68135.250,-71650.520,-72934.780,0.000
